job_id,job_description
1,"### **Summary**

Rokt is seeking a Highly Skilled Ecommerce Software Architect to join their team in Seattle, WA. The role involves designing, developing, and improving ecommerce technology that enhances customer experiences and empowers marketers.

### **About the Role**

As a Senior Software Engineer, you will be responsible for:
- Designing, developing, testing, deploying, and improving code that solves real-world problems.
- Owning complex product features end-to-end, focusing on customer impact.
- Operating with autonomy in solving problems.
- Collaborating with other teams to deliver new products.
- Creating fast, scalable, and easy-to-use applications.
- Building libraries and frameworks that others can use.
- Supporting and mentoring other engineers on best practices, architecture, and quality.

### **About You**

**Required:**

- 6+ years of experience in software engineering.
- Strong commercial experience in languages like Go, Java, C#, or Python.
- Extensive experience with AWS, GCP, Azure, Kubernetes, and CI/CD pipelines.
- An eagerness to work and learn openly, sharing knowledge with teammates.
- A willingness to communicate remotely using chat, docs, video calls, and online tools.

### **Benefits**

- Compensation: \$230k–\$285k per annum, including employee equity plan grants and world-class benefits.
- Accelerated career growth, with roadmaps to leadership and an annual training allowance of \$5000.
- Becoming a shareholder, with equity grants in the company.
- Catered lunch and healthy snacks in the office, plus gym membership and extra leave options.
- Generous retirement plans and fully funded premium health insurance for your entire family.
- Dog-friendly office space and flexible working arrangements.
- Access to the greatest talent in the industry and opportunities to see the world with offices in New York, Seattle, Sydney, Tokyo, and London."
2,"### **Summary**

Riot Games is seeking a Senior Technical Lead - Game Foundations to join their team in Los Angeles, CA. The role involves leading the design and execution of technical solutions that drive business value for the VALORANT Foundations team.

### **About the Role**

As a Senior Technical Lead, you will be responsible for collaborating with cross-functional teams to deliver complex projects that empower developers. Your main tasks will include establishing systems, tools, and best practices for multi-platform game development, mentoring senior engineers, and being hands-on in development by writing high-quality code. You will also identify impactful technology investments and help teams navigate ambiguity by breaking down problems and communicating trade-offs.

### **About You**

**Required:**

- 10+ years experience in professional software development, including shipping multiple games.
- 2+ years of experience as a technical lead.
- Have been responsible for driving the design and execution of organization-sized efforts (1-year+ scope).
- 5+ years professional experience with C++.
- Experience shipping an Unreal Engine game that targets PC and at least one of Console and Mobile.

### **Benefits**

- Medical, dental, and life insurance, parental leave for you, your spouse/domestic partner, and children, and a 401k with company match.
- Flexible work schedules and open paid time off policy.
- A culture that values teamwork, diversity, and inclusion."
3,"### **Summary**

BAE Systems is seeking a Principal Software Engineer (Hybrid) to join their team in New York, NY. The role involves developing high-quality, real-time embedded software for fielded electronics platforms as part of a collaborative team focused on defense technologies.

### **About the Role**

As a Principal Software Engineer, you will work across multiple disciplines, collaborating with Systems, Hardware, and Test Engineers throughout all phases of the Software Development Lifecycle. The position requires more than 50% of work to be conducted onsite at a BAE Systems facility. You will be responsible for designing, developing, and implementing software solutions, as well as supporting and maintaining existing software.

### **About You**

**Required:**

- Must be a US Citizen and be able to obtain a Secret clearance.
- Bachelor's Degree in Computer Science, Electrical Engineering, or other scientific degree with strong software content.
- 4+ years of experience in software development.
- Ability to design, develop, and implement software solutions to meet project requirements, including coding, testing, debugging, and documentation.
- Understanding of software engineering principles, design patterns, and best practices, with the ability to design and develop scalable and maintainable software solutions.
- Familiarity with the full software development lifecycle, from requirements analysis and design to implementation, testing, deployment, and maintenance.
- Comfortable supporting and maintaining existing software, troubleshooting technical issues, and implementing bug fixes and enhancements as needed.
- Strong problem-solving skills that translate to working, maintainable software.
- Willingness to learn and develop new skills as needed.

**Preferred:**

- Experience in embedded software development.
- Working knowledge of software tools such as Jira, BitBucket, debuggers, etc.
- Experience with DO-178 or other defined software process.
- Experience with Agile Development and DevSecOps.
- Active Secret Clearance.

### **Benefits**

- Full-Time Salary Range: \$103k–\$176k.
- Health, dental, and vision insurance; health savings accounts; a 401(k) savings plan; disability coverage; and life and accident insurance.
- Employee assistance program, legal plan, and discounts on home, auto, and pet insurance.
- Paid time off, paid holidays, and other types of leave, including paid parental, military, bereavement, and applicable federal and state sick leave.
- Participation in the company recognition program for monetary or non-monetary awards."
4,"### **Summary**

Mastercard is seeking a Gen AI Platform Lead Software Engineer to join their team in New York, NY. The role involves building a holistic platform for Generative AI Large Language Models (LLMs) and driving cloud usage and adoption across the company.

### **About the Role**

As a Gen AI Platform Lead Software Engineer, you will be responsible for designing, configuring, and implementing a Generative AI platform, including MLOps/LLMOps for both commercial and open-source LLMs. Your daily tasks will include ensuring alignment to cloud integration standards, identifying opportunities for efficiency, engaging with IT and business partners to create meaningful roadmaps, and championing Mastercard's engineering principles. You will also participate in the Software Engineering Guild, share knowledge, and drive meaningful metrics.

### **About You**

**Required:**

- Deep understanding of cloud providers including AWS and Azure, especially AI and GenAI-related cloud services (e.g., AWS SageMaker, AWS Bedrock, Azure ML).
- Experience with Generative AI LLM platform components such as model evaluation, governance, orchestration, and prompt libraries.
- Solid experience with site reliability engineering and creating resilient, supportable solutions.
- Strong communication skills, both written and verbal.
- Proficient in web service design and implementation.
- Experienced with Python, Java, and other programming languages.

**Preferred:**

- Deep AI/ML experience with data science and analytics.
- Knowledge of AI-related data platforms (e.g., DataBricks, IBM watsonx).
- Experience with GenAI code assistants (e.g., GitHub Copilot, AWS Code Whisperer).
- Understanding of cloud security in regulated markets.
- Familiarity with different project management methodologies, including Agile/Scrum.

### **Benefits**

- Competitive compensation with eligibility for an annual bonus based on company performance.
- Comprehensive benefits package including medical, dental, and vision coverage."
5,"### **Summary**

Shield AI is seeking an **Autonomous Behavior Development and Simulation Expert** to join their team in **Washington, DC**. The role involves developing and implementing autonomous behavior on Group 3 and Group 5 unmanned aircraft, directly impacting the development of the world's best AI pilot, Hivemind.

### **About the Role**

As a **Simulation Software Engineer** with the Hivemind Design Department, you will:
- Design and develop simulation environments that support the development and implementation of autonomous behavior.
- Collaborate with cross-functional teams to ensure compliance with DoD and Industry standards.
- Drive technical design and integration of new simulated payloads for platform testing.
- Develop and maintain well-defined interfaces for government and business customers.

### **About You**

**Required:**
- Experience in a relevant DoD modeling and simulation environment.
- Strong C/C++ development experience and comfortability within UNIX/Linux environments.
- At least 10 years of industry experience.
- Experience working on projects with 10+ contributors.
- BS/MS in Computer Science, Electrical Engineering, Mechanical Engineering, Aerospace Engineering, or similar degree, or equivalent practical experience.

**Preferred:**
*(No preferred qualifications listed in the job description.)*

### **Benefits**

- Competitive total compensation package, including salary, bonus, benefits, and equity.
- International benefits for employees working outside the U.S., including international premium, hardship differential, cost of living differential, living quarters allowance, foreign service transfer allowance, equity, international benefits, visa assistance, and relocation assistance.
- Estimated Salary: **\$202.3k** per year."
6,"### **Summary**

Humana is seeking a Senior Full Stack Software Engineer to join their team in Concord, NH. The role involves developing scalable software solutions using a diverse range of technologies and programming languages, focusing on both user experience and functionality.

### **About the Role**

As a Senior Full Stack Software Engineer, you will be responsible for all phases of the software development lifecycle, including front-end and back-end development, database integrations, and management of network, hosting, user interface, user experience, and server backend. You will collaborate with experienced developers, engage with Agile teams, and develop solutions using cloud-native stacks. Your role will also involve designing and implementing REST APIs, developing automated test scenarios, and upholding modern development standards.

### **About You**

**Required:**

- Bachelor's Degree in Computer Science or related field.
- 5 or more years of experience designing, developing, and testing software applications and/or infrastructure.
- Passion for contributing to an organization focused on continuously improving consumer experiences.
- Experience with Cloud infrastructure (Azure, GCP).
- Experience with Vue.js, Node.js, .Net.
- Experience with DevOps.

**Preferred:**

- Experience with Adobe Product Suite (AEM, Experience Platform).
- Experience with Test Driven Development (TDD).
- Master's Degree.

### **Benefits**

- Competitive compensation range of \$106.9k–\$147k per year, with eligibility for a bonus incentive plan based on performance.
- Comprehensive benefits package including medical, dental, and vision benefits, 401(k) retirement savings plan, paid time off, short-term and long-term disability, and life insurance."
7,"### **Summary**

Walmart is seeking a Software Engineer III (iOS) to join their team in Hicksville, NY. The role involves contributing to the development of mobile applications, enhancing functionality, and optimizing performance.

### **About the Role**

As a Software Engineer III (iOS), you will be responsible for implementing and enhancing features in iOS applications, collaborating with designers and product managers, participating in code reviews, debugging issues, and continuously learning new iOS technologies. You will work closely with both US and IDC teams to deliver a seamless iOS experience to pharmacy customers.

### **About You**

**Required:**

- Proficiency in Swift with a solid understanding of UIKit, Foundation, and basic iOS architecture.
- Experience with the full app lifecycle from development to release and updates in the App Store.
- Familiarity with version control systems like Git, and testing frameworks like XCTest.
- Basic understanding of design patterns such as MVC or MVVM.
- Good communication skills and the ability to collaborate within cross-functional teams.
- Option 1: Bachelor's degree in computer science, computer engineering, computer information systems, software engineering, or related area and 2 years' experience in software engineering or related area.
- Option 2: 4 years' experience in software engineering or related area.

**Preferred:**

- Background in creating inclusive digital experiences, demonstrating knowledge in implementing Web Content Accessibility Guidelines (WCAG) 2.2 AA standards, assistive technologies, and integrating digital accessibility seamlessly.
- Knowledge of accessibility best practices.

### **Benefits**

- Competitive pay with performance-based bonus awards.
- 401(k) match, stock purchase plan, paid maternity and parental leave, PTO, and multiple health plans.
- Health benefits include medical, vision, and dental coverage.
- Financial benefits include 401(k), stock purchase, and company-paid life insurance.
- Paid time off benefits include PTO (including sick leave), parental leave, family care leave, bereavement, jury duty, and voting.
- Additional benefits include short-term and long-term disability, company discounts, Military Leave Pay, adoption and surrogacy expense reimbursement, and more.
- Annual salary range: \$108k–\$216k."
8,"### **Summary**

Capital One is seeking a Senior Engineering Director - Full Stack to join their team in Wilmington, DE. The role involves leading a portfolio of diverse technology projects and a team of developers with deep experience in distributed microservices and full-stack systems.

### **About the Role**

As a Senior Engineering Director - Full Stack, you will be responsible for leading a team of developers to create solutions that meet regulatory needs for the company. You will share your passion for technology trends, mentor other engineers, and collaborate with digital product managers to deliver robust cloud-based solutions that empower millions of Americans financially.

### **About You**

**Required:**

- Bachelor's Degree
- At least 4 years of experience in software engineering (Internship experience does not apply)
- At least 1 year experience with cloud computing (AWS, Microsoft Azure, Google Cloud)

**Preferred:**

- Passion for staying on top of tech trends, experimenting with and learning new technologies, and participating in internal & external technology communities.

### **Benefits**

- (No benefits information provided in the job description.)"
9,"### **Summary**

Walmart is seeking a Senior Software Engineer - Full Stack Python, Gen AI Developer to join their team in Pacifica, CA. The role involves building highly scalable and reliable APIs, services, and applications for the next generation purchase order management system.

### **About the Role**

As a Senior Software Engineer, you will be responsible for leading a team, developing scalable applications, troubleshooting critical software issues, and implementing new architectural patterns. Your daily tasks will include integrating Generative AI models, building user-friendly interfaces with React, and serving as a communication layer between the frontend and backend systems. You will also provide support for existing systems and drive the development of action plans to resolve production issues.

### **About You**

**Required:**

- 7+ years of experience building scalable applications.
- Bachelor's degree in computer science, computer engineering, computer information systems, software engineering, or related area and 3 years' experience in software engineering or related area, or 5 years' experience in software engineering or related area.
- Strong expertise in development of scalable cloud-native microservices.
- Strong expertise in designing and building APIs.
- Strong expertise with Cloud Technologies like Azure and GCP.
- Strong experience interfacing with Web Services platforms.
- Familiarity with continuous integration/deployment processes and tools such as Jenkins and Maven.

**Preferred:**

- Master's degree in Computer Science, Computer Engineering, Computer Information Systems, Software Engineering, or related area and 1 year's experience in software engineering or related area.
- Background in creating inclusive digital experiences and knowledge in implementing Web Content Accessibility Guidelines (WCAG) 2.2 AA standards.

### **Benefits**

- Competitive pay with performance-based bonus awards.
- 401(k) match and stock purchase plan.
- Paid maternity and parental leave, PTO, and multiple health plans.
- Health benefits including medical, vision, and dental coverage.
- Additional benefits include short-term and long-term disability, company discounts, and education benefits covering tuition, books, and fees.
- The annual salary range for this position is \$117k–\$234k."
10,"### **Summary**

MEMX is seeking a Senior Member of Staff, Client Software Engineering to join their team in Anywhere, United States. The role involves developing applications that support their core trading system and enhancing the user portal for their trading platform.

### **About the Role**

As a Senior Member of Staff, Client Software Engineering, you will be responsible for:
- Developing applications that administer and support MEMX's core trading system.
- Working on the user portal to the trading platform, creating improvements and building products for internal and external users.
- Collaborating with Product Managers and stakeholders to understand market complexities and user needs.
- Ensuring solutions meet current and future user requirements to enhance product offerings.
- Designing best-in-class systems with a team of experienced developers.
- Developing and maintaining innovative products that deliver exceptional features and service.

### **About You**

**Required:**

- 8 or more years of web development experience.
- Bachelor's degree or higher in Computer Science or a comparable discipline.
- Proficient in HTML5, ES6, CSS.
- Experienced in REST APIs, NodeJS, React, Angular, or an equivalent web framework, git.
- Strong professional and interpersonal skills including exceptional customer service, creative problem solving, and effective written and verbal communications.
- Broad systems thinking - ability to understand connections and relationships across functions and entities for both internal and external constituencies.
- Demonstrated ability to succeed as a self-starter in a dynamic environment.

**Preferred:**

- Experience with financial markets, distributed systems, and/or high-performance web applications.

### **Benefits**

- Competitive employee benefits and perks.
- Work From Home.
- Health Care Plan (Medical, Dental & Vision).
- Retirement Plan (401k).
- Life Insurance (Basic, Voluntary & AD&D).
- Unlimited Paid Time Off.
- Generous Paid Family Leave.
- Short Term & Long-Term Disability.
- Training & Development.
- Wellness Resources.
- Pay Range: \$155k–\$190k."
